,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
293603,8B0CE07A17B0659637EC25373E8F83EA99FC8B2F_1699623697,2023-11-10 13:41:37,Crash Urgent,"(30.379631,-97.638773)",30.379631,-97.638773,2001-2821 E Parmer Ln,ARCHIVED,2023-11-10 14:25:08
293852,39CACD2E0A5452368CB72F0A56F73C9D1F846043_1699365603,2023-11-07 14:00:03,Traffic Hazard,"(30.281805,-97.774359)",30.281805,-97.774359,2500 W 7th St,ARCHIVED,2023-11-07 14:10:10
293856,937E42740E2AF2C49128A1E6DFA59A3EFC9149CE_1699365724,2023-11-07 14:02:04,Traffic Hazard,"(30.40091,-97.72999)",30.40091,-97.72999,11200 N Mopac Expy Sb,ARCHIVED,2023-11-07 14:10:10
294123,4CCE220495B298C3BCF19B23EBF3FA9A95FC3F8D_1699359667,2023-11-07 12:21:07,Stalled Vehicle,"(30.227769,-97.756392)",30.227769,-97.756392,3400 Willow Springs Rd,ARCHIVED,2023-11-07 14:10:10
294499,981E494D9FC3241FD83D50096A7A0208FD35DD7F_1699364775,2023-11-07 13:46:15,COLLISION,"(30.440208,-97.669623)",30.440208,-97.669623,1600-blk W WELLS BRANCH PKWY,ARCHIVED,2023-11-07 14:25:09
294505,C51924F09B7A115683511FD1FC4A3F9F058103C3_1699362298,2023-11-07 13:04:58,COLLISION,"(30.07456,-97.691544)",30.07456,-97.691544,S US 183 HWY NB / EVELYN RD,ARCHIVED,2023-11-07 14:25:09
294507,A347E89F9481B2C0628E0435C2860C2E7EB85C03_1699363654,2023-11-07 13:27:34,COLLISN/ LVNG SCN,"(30.070983,-97.691478)",30.070983,-97.691478,11700 S US 183 HWY NB,ARCHIVED,2023-11-07 14:25:09
294508,FE6552A5EED112AE9B313AE9EC4E260537561CC0_1699366661,2023-11-07 14:17:41,COLLISION,"(30.460028,-97.666604)",30.460028,-97.666604,1800-2042 Waukesha Dr,ARCHIVED,2023-11-07 14:55:16
294796,CB337DEA7B4AE1A51F41A8388CBCD9457618799D_1699363530,2023-11-07 13:25:30,COLLISION,"(30.390462,-97.884849)",30.390462,-97.884849,N Fm 620 Rd / Marshall Ford Rd,ARCHIVED,2023-11-07 14:30:11
295062,207F867C47D2D963353D30EC4A836D6290D90FFA_1699366692,2023-11-07 14:18:12,COLLISION,"(30.445659,-97.743511)",30.445659,-97.743511,6101-6315 W Parmer Ln,ARCHIVED,2023-11-07 14:45:22
295305,F9645347D5B2C4DB96EDB49A55AD3B9451CA9F6E_1699368388,2023-11-07 14:46:28,Traffic Hazard,"(30.259314,-97.693619)",30.259314,-97.693619,Airport Blvd / Shady Ln,ARCHIVED,2023-11-07 15:00:28
295306,1D3309AE08FFC29BCA69577541E57D3D5AB66341_1699361449,2023-11-07 12:50:49,Crash Service,"(30.323437,-97.708788)",30.323437,-97.708788,816 TIRADO ST,ARCHIVED,2023-11-07 15:05:18
295307,18DD8025688A8458D55DABF67D5CE9D57E155B82_1699367727,2023-11-07 14:35:27,Traffic Hazard,"(30.299083,-97.662107)",30.299083,-97.662107,6000-6416 Ed Bluestein Blvd Svrd Sb,ARCHIVED,2023-11-07 15:10:35
295308,87FC57A9E4B4B7CFED49FDE83E1B3D5138966A4F_1699368768,2023-11-07 14:52:48,Crash Service,"(30.303922,-97.737384)",30.303922,-97.737384,4110 Guadalupe St,ARCHIVED,2023-11-07 15:10:35
295558,366ED27E3ED6AB3618F8E6CBFF6D423B53BC459D_1699369293,2023-11-07 15:01:33,Crash Urgent,"(30.268049,-97.735366)",30.268049,-97.735366,700 E 8th St,ARCHIVED,2023-11-07 15:15:19
295560,C03683BF915B1D9B9B2949494BFDA59AC1C5F7A2_1699369985,2023-11-07 15:13:05,Crash Urgent,"(30.253353,-97.697574)",30.253353,-97.697574,E 7th St / Shady Ln,ARCHIVED,2023-11-07 16:00:18
295561,F47DE373DC275D4AAE9591071D845541606A178D_1699623625,2023-11-10 13:40:25,COLLISION,"(30.426432,-97.657177)",30.426432,-97.657177,2300-2412 S HEATHERWILDE BLVD,ARCHIVED,2023-11-10 14:50:11
295835,61BF9647580B2C32081F2464F4E89E4A5631E435_1699365951,2023-11-07 14:05:51,Crash Urgent,"(30.171501,-97.617648)",30.171501,-97.617648,13013 Lipton Loop,ARCHIVED,2023-11-07 15:20:19
295836,B32BDC3918665A3A1B8C43BCF903A4A79E9A76FB_1699369525,2023-11-07 15:05:25,Crash Service,"(30.268695,-97.733968)",30.268695,-97.733968,N Ih 35 Svrd Sb / E 9th St,ARCHIVED,2023-11-07 15:20:19
295839,40AB990FE3765C7FC587B00F93D9632B78FE7EE9_1699367064,2023-11-07 14:24:24,TRFC HAZD/ DEBRIS,"(30.425003,-97.75167)",30.425003,-97.75167,12000-BLK RESEARCH BLVD SVRD SB,ARCHIVED,2023-11-07 15:25:20
295840,A7D42994083C2352E0EEC3EC00AA9B3B3DB00CA6_1699367862,2023-11-07 14:37:42,Traffic Hazard,"(30.242534,-97.811965)",30.242534,-97.811965,4100-4300 S Mopac Expy Sb,ARCHIVED,2023-11-07 15:35:16
295841,0419AA9EEA9D9BE6D70580D8F6C852622FCC00E5_1699369026,2023-11-07 14:57:06,Traffic Hazard,"(30.403668,-97.638529)",30.403668,-97.638529,13486 DESSAU RD,ARCHIVED,2023-11-07 15:40:16
295842,F29EC73A96F5925122FBD1B62F40315A3B85C911_1699365673,2023-11-07 14:01:13,COLLISION,"(30.352792,-97.648577)",30.352792,-97.648577,SPRINKLE RD / SPRINKLE CUTOFF RD,ARCHIVED,2023-11-07 15:45:30
295843,96FA3E6F71FD2261F7325C90CDA49AEDD8641132_1699370855,2023-11-07 15:27:35,Crash Service,"(30.441895,-97.747667)",30.441895,-97.747667,6263 Mc Neil Dr,ARCHIVED,2023-11-07 15:45:30
296083,01EE94B8B3AC84ACBD3A5B852ED4B18846E304CD_1699368215,2023-11-07 14:43:35,Crash Urgent,"(30.267406,-97.734428)",30.267406,-97.734428,700-720 N Ih 35 Svrd Sb,ARCHIVED,2023-11-07 15:50:26
296084,C41882F67AA8B3FFB5D98F51F530E7A189C779CE_1699626366,2023-11-10 14:26:06,TRFC HAZD/ DEBRIS,"(30.469156,-97.845139)",30.469156,-97.845139,Twin Creeks Club Dr / Anderson Mill Rd,ARCHIVED,2023-11-10 14:50:11
296087,0C05BDF649E4021221AFE9D48252F3415551227F_1699718944,2023-11-11 16:09:04,COLLISION,"(30.163182,-97.725763)",30.163182,-97.725763,7301-7325 MC KINNEY FALLS PKWY,ARCHIVED,2023-11-11 17:25:08
296089,037C3EE7299BCED693B20196F1025EAEE60503AD_1699718813,2023-11-11 16:06:53,COLLISION/PRIVATE PROPERTY,"(30.154836,-97.640603)",30.154836,-97.640603,7220 Elroy Rd,ARCHIVED,2023-11-11 17:25:08
296091,2FB3FA6506ACB862618A311AD41A4BEC8D07CE0F_1699717004,2023-11-11 15:36:44,LOOSE LIVESTOCK,"(30.035057,-97.687844)",30.035057,-97.687844,10700 N US HWY 183,ARCHIVED,2023-11-11 17:40:09
296092,79E4F4B56385D8DBE97A23480CD8F614F328A74C_1699722972,2023-11-11 17:16:12,Traffic Hazard,"(30.356594,-97.730765)",30.356594,-97.730765,7900-7999 Burnet Rd,ARCHIVED,2023-11-11 17:40:09
296485,38B6B24B01F8C8E5A8A0A482C8FF2D2D67247995_1699371670,2023-11-07 15:41:10,Traffic Hazard,"(30.377894,-97.635615)",30.377894,-97.635615,Samsung / E Parmer Ln,ARCHIVED,2023-11-07 16:05:09
296488,5D1BDAE6389C2A1988415D2F9B9EC2070341371D_1699359045,2023-11-07 12:10:45,COLLISION,"(30.380677,-97.612581)",30.380677,-97.612581,5500-blk E HOWARD LN,ARCHIVED,2023-11-07 16:10:10
296492,0C4E6389BA7066F691E6C5AAA754C167FBB870F8_1699363728,2023-11-07 13:28:48,Crash Service,"(30.18285,-97.832453)",30.18285,-97.832453,Curlew Dr / Crownspoint Dr,ARCHIVED,2023-11-07 16:15:12
296493,813298B7BB778999A37F02076A5C54131CFFF6B5_1699371851,2023-11-07 15:44:11,Traffic Hazard,"(30.498003,-97.775726)",30.498003,-97.775726,W Parmer Ln / Avery Ranch Blvd,ARCHIVED,2023-11-07 16:15:12
296497,346F2749EFBE761597FD81E1C0CC286B1587910C_1699368688,2023-11-07 14:51:28,Crash Urgent,"(30.424641,-97.71355)",30.424641,-97.71355,W Parmer Ln / Amherst Dr,ARCHIVED,2023-11-07 16:25:09
296499,1373EA12BAAA638B59CA93994D65CC541259C1BB_1699370242,2023-11-07 15:17:22,Crash Urgent,"(30.247385,-97.73331)",30.247385,-97.73331,1400-1514 E Riverside Dr,ARCHIVED,2023-11-07 16:35:09
296757,80CB5A19FE9C8F7B1DFB602B6CE549E3B82A3DBF_1699370252,2023-11-07 15:17:32,Crash Service,"(30.278401,-97.737484)",30.278401,-97.737484,E 17th St / Brazos St,ARCHIVED,2023-11-07 16:35:09
296758,ADABAF1DC5B7F34B10D06F9F8D60E7204053A7C1_1699370325,2023-11-07 15:18:45,Traffic Hazard,"(30.163213,-97.737033)",30.163213,-97.737033,6600-6613 Colton Bluff Springs Rd,ARCHIVED,2023-11-07 16:35:09
296762,BBC42BB2D3F982AE8245231CA7EC8135A902BEFC_1699372585,2023-11-07 15:56:25,Traffic Hazard,"(30.337606,-97.755337)",30.337606,-97.755337,5600-5800 N Mopac Expy Sb,ARCHIVED,2023-11-07 16:35:09
297286,ECBBA657698CD0456AE5C2E9D24999B77C4A8498_1699374628,2023-11-07 16:30:28,TRFC HAZD/ DEBRIS,"(30.168459,-97.860154)",30.168459,-97.860154,Brodie Ln / Capistrano Trl,ARCHIVED,2023-11-07 16:50:10
297287,1F07B56088AEBAD4D7D3F3FA1860D789193298BB_1699374783,2023-11-07 16:33:03,Traffic Hazard,"(30.483106,-97.785621)",30.483106,-97.785621,10080-10317 Lakeline Blvd,ARCHIVED,2023-11-07 17:05:09
297288,9B569564C9A9AC7BCC855C106EE9377ED1B5AD19_1699627236,2023-11-10 14:40:36,TRFC HAZD/ DEBRIS,"(30.229318,-97.620205)",30.229318,-97.620205,700-1520 S Sh 130 Sb,ARCHIVED,2023-11-10 14:55:09
297308,B66BC160031C526D7F9183F924FF8CD7D4F6EE70_1699721693,2023-11-11 16:54:53,LOOSE LIVESTOCK,"(30.159869,-97.683945)",30.159869,-97.683945,9310-blk FM 812 RD,ARCHIVED,2023-11-11 17:35:12
297309,9C48DB8B23C6725EFC188D887DE442199226ECC3_1699723912,2023-11-11 17:31:52,TRFC HAZD/ DEBRIS,"(30.452821,-97.666114)",30.452821,-97.666114,15700-BLK N IH 35 NB,ARCHIVED,2023-11-11 17:40:09
297699,AFBE443A2F3AF0DB633E969307F94DF203A7DDB6_1699374750,2023-11-07 16:32:30,Traffic Hazard,"(30.413368,-97.707441)",30.413368,-97.707441,12151-12331 N Mopac Expy Nb,ARCHIVED,2023-11-07 17:00:11
297701,401A71AFFC7E0682EE781768CE2BB2DEE29319E9_1699373513,2023-11-07 16:11:53,COLLISION,"(30.460221,-97.666717)",30.460221,-97.666717,16107 N IH 35 SVRD NB,ARCHIVED,2023-11-07 17:10:09
297707,59DC237DF3D441B6D490394E32CD6A41B3358D2F_1699373632,2023-11-07 16:13:52,Traffic Hazard,"(30.372841,-97.633698)",30.372841,-97.633698,12100-12161 Samsung Blvd,ARCHIVED,2023-11-07 17:10:09
298013,A238EFA1E6BE785257FFA83915DC0E6EF13B355C_1699367702,2023-11-07 14:35:02,Crash Urgent,"(30.322779,-97.68049)",30.322779,-97.68049,7200-7250 Northeast Dr,ARCHIVED,2023-11-07 17:15:08
298607,7A5025883C3D6B54A0E765B19F53E3343687DB2E_1699376539,2023-11-07 17:02:19,COLLISION,"(30.449468,-97.661633)",30.449468,-97.661633,15600-blk VISION DR,ARCHIVED,2023-11-07 17:30:11
298749,5275AA6E7680CE5BA67569B23119BDA775D6C41F_1699377078,2023-11-07 17:11:18,TRFC HAZD/ DEBRIS,"(30.347568,-98.05432)",30.347568,-98.05432,Haystack Cv / W Sh 71,ARCHIVED,2023-11-07 17:30:11
298751,CF9725A2055B246C88258A875D98584BA37189AF_1699623389,2023-11-10 13:36:29,Traffic Hazard,"(30.266226,-97.747304)",30.266226,-97.747304,Guadalupe St / W 3rd St,ARCHIVED,2023-11-10 15:00:17
298752,0A24D3CB30F8C1B8F9ED74664BEAFD46ECCD055D_1699626480,2023-11-10 14:28:00,Traffic Hazard,"(30.337816,-97.755236)",30.337816,-97.755236,5600-5800 N Mopac Expy Sb,ARCHIVED,2023-11-10 15:05:09
299187,71EA8C8066411034867A2D0BD2C4D1B56F45AF2B_1699374497,2023-11-07 16:28:17,Traffic Hazard,"(30.34822,-97.712677)",30.34822,-97.712677,0 Research Nb To Anderson Ramp,ARCHIVED,2023-11-07 17:50:10
299347,2BE753B3FFFF9B04B02C6D41A7A29067B1F86C02_1699377965,2023-11-07 17:26:05,COLLISION/PRIVATE PROPERTY,"(30.34909,-97.542362)",30.34909,-97.542362,11923 E Us 290 Hwy Eb,ARCHIVED,2023-11-07 18:00:17
299631,01E3A3BB9CD2511B27D53D2F775104E07AC4F107_1699378836,2023-11-07 17:40:36,Traffic Hazard,"(30.159865,-97.736173)",30.159865,-97.736173,Colton Bluff Springs Rd / Alum Rock Dr,ARCHIVED,2023-11-07 18:15:13
300140,8D62C4400092573EFA143A5159280E6A68AF5274_1699378930,2023-11-07 17:42:10,LOOSE LIVESTOCK,"(30.567319,-97.962016)",30.567319,-97.962016,23207 Spanish Oak Trl,ARCHIVED,2023-11-07 18:15:13
300141,FD1CDC5192FD84041D83C0EF6053A484314F07F3_1699380178,2023-11-07 18:02:58,COLLISION,"(30.175414,-97.854987)",30.175414,-97.854987,Brodie Ln / Wyldwood Rd,ARCHIVED,2023-11-07 18:15:13
300144,CAB1712687E44189836447CABE02AFAE8B75EE57_1699623966,2023-11-10 13:46:06,Crash Service,"(30.191389,-97.801845)",30.191389,-97.801845,7604 Forest Wood Rd,ARCHIVED,2023-11-10 15:10:12
300145,A5C7D200F6BA63039603B90217304A4F37392DBF_1699623080,2023-11-10 13:31:20,Traffic Hazard,"(30.2828,-97.653211)",30.2828,-97.653211,Johnny Morris Rd / Fm 969 Rd,ARCHIVED,2023-11-10 15:15:08
300149,DD9C494B6CB999C842B7DAC01A443ECB903DA0D1_1699625548,2023-11-10 14:12:28,Traffic Hazard,"(30.280439,-97.693313)",30.280439,-97.693313,1408 Deloney St,ARCHIVED,2023-11-10 15:15:08
300150,8CBC3E572CC892F03DC08C8EE359C71AAB846DB6_1699628724,2023-11-10 15:05:24,Traffic Hazard,"(30.259173,-97.73054)",30.259173,-97.73054,E Cesar Chavez St / Navasota St,ARCHIVED,2023-11-10 15:15:08
300152,F29EC73A96F5925122FBD1B62F40315A3B85C911_1699628844,2023-11-10 15:07:24,TRFC HAZD/ DEBRIS,"(30.275149,-97.81058)",30.275149,-97.81058,1220-1309 WESTBANK DR,ARCHIVED,2023-11-10 15:35:08
300154,346F2749EFBE761597FD81E1C0CC286B1587910C_1699630771,2023-11-10 15:39:31,Traffic Hazard,"(30.249165,-97.692825)",30.249165,-97.692825,5700-6113 LEVANDER LOOP,ARCHIVED,2023-11-10 20:05:10
300391,36E7ECFE17F4820835ACFADF14E0A7689A9974B1_1699629212,2023-11-10 15:13:32,Traffic Hazard,"(30.361026,-97.741094)",30.361026,-97.741094,3101-3325 W Anderson Ln,ARCHIVED,2023-11-10 15:45:12
300392,3CA160CEAE9440FF85D9E90C5CFF9DA4BCCCD286_1699723324,2023-11-11 17:22:04,Traffic Hazard,"(30.475935,-97.764721)",30.475935,-97.764721,9125-9129 W Parmer Ln,ARCHIVED,2023-11-11 17:55:08
300393,3EF7538B0F216C80090141B725F27B3D0767A38C_1699724165,2023-11-11 17:36:05,Traffic Hazard,"(30.455444,-97.825791)",30.455444,-97.825791,N Fm 620 Rd / Anderson Mill Rd,ARCHIVED,2023-11-11 17:55:08
300394,E4BD9B6C49214CA8D8AD295FB4B1E7E79022DF16_1699724751,2023-11-11 17:45:51,Traffic Hazard,"(30.261782,-97.738792)",30.261782,-97.738792,E Cesar Chavez St / Red River St,ARCHIVED,2023-11-11 17:55:08
300609,CF2976036430385C6A769CCF621A546D5D06A698_1699375852,2023-11-07 16:50:52,Crash Urgent,"(30.33862,-97.698336)",30.33862,-97.698336,2-4 E Anderson Wb To Ih 35 Nb Ramp,ARCHIVED,2023-11-07 18:25:08
300610,B4D94AD4BA566CAFF6A702ADEB39E76A43484364_1699376102,2023-11-07 16:55:02,Crash Urgent,"(30.358568,-97.74079)",30.358568,-97.74079,Shoal Creek Blvd / Foster Ln,ARCHIVED,2023-11-07 18:25:08
300611,06BC6A372C0484BD4C62494038CAC7C4C62035DF_1699377065,2023-11-07 17:11:05,Traffic Hazard,"(30.266577,-97.733869)",30.266577,-97.733869,E 7th St / N Ih 35 Svrd Nb,ARCHIVED,2023-11-07 18:25:08
300612,F7582E683F6EE18F9F96A0AD2E2B538657F8F284_1699380660,2023-11-07 18:11:00,Traffic Hazard,"(30.157934,-97.752412)",30.157934,-97.752412,Nuckols Crossing Rd / Vertex Blvd,ARCHIVED,2023-11-07 18:25:08
301006,246D2E34BEDEDFE76E09931A89BF4631F3916827_1699380591,2023-11-07 18:09:51,Traffic Hazard,"(30.264772,-97.785762)",30.264772,-97.785762,1000 S Mopac Expy Sb,ARCHIVED,2023-11-07 18:40:10
301007,1111F431B07C69ECFB4466EF65391C4BDB995848_1699379259,2023-11-07 17:47:39,Crash Service,"(30.488383,-97.771391)",30.488383,-97.771391,10000-10222 W Parmer Ln,ARCHIVED,2023-11-07 19:05:10
301008,F594216AB73D45120DC603E926DA86C1AE918428_1699380091,2023-11-07 18:01:31,Crash Service,"(30.248168,-97.773716)",30.248168,-97.773716,2126 Goodrich Ave,ARCHIVED,2023-11-07 19:40:12
301477,53EB8055CF041753B3A43D89F2B9503C9BA333E1_1699380791,2023-11-07 18:13:11,TRFC HAZD/ DEBRIS,"(30.450578,-97.666605)",30.450578,-97.666605,15200-15600 N Ih 35 Sb,ARCHIVED,2023-11-07 18:30:08
301729,F7C6E867C8BBFAD40FB723CF75C4D06E20C1B21A_1699381362,2023-11-07 18:22:42,Traffic Hazard,"(30.16311,-97.736831)",30.16311,-97.736831,SPRINGTIME TRL / COLTON BLUFF SPRINGS RD,ARCHIVED,2023-11-07 18:40:10
301858,C815C1EA05A0C9CD15BAF385FB76353EFDE3E50C_1699381599,2023-11-07 18:26:39,Traffic Hazard,"(30.343845,-97.580292)",30.343845,-97.580292,E Us 290 Hwy Svrd Eb / E Parmer Ln,ARCHIVED,2023-11-07 19:15:08
302098,3EF7538B0F216C80090141B725F27B3D0767A38C_1699378393,2023-11-07 17:33:13,Traffic Hazard,"(30.286241,-97.706465)",30.286241,-97.706465,Airport Blvd / Manor Rd,ARCHIVED,2023-11-07 18:50:09
302100,6C7FAA15D63FB82FCBEB6343F640F32DEB4AB398_1699382675,2023-11-07 18:44:35,Traffic Hazard,"(30.349086,-97.585879)",30.349086,-97.585879,8923-9419 E PARMER LN,ARCHIVED,2023-11-07 18:55:08
302344,BBFBF362460D2B5A1573BC939A7419DF3FFF1A54_1699380947,2023-11-07 18:15:47,Traffic Hazard,"(30.222812,-97.747795)",30.222812,-97.747795,3000-3500 S Ih 35 Sb,ARCHIVED,2023-11-07 18:40:10
302352,5A6F06DB0BD8A8C95C41E825DF3DE1588C7569ED_1699383532,2023-11-07 18:58:52,Traffic Hazard,"(30.32174,-97.705853)",30.32174,-97.705853,0 N Ih 35 Svrd Nb To 290 Eb Ramp,ARCHIVED,2023-11-07 19:15:08
302353,853CA591062E389DDA69B6AC891849AA312DAB40_1699382006,2023-11-07 18:33:26,Traffic Hazard,"(30.223647,-97.764829)",30.223647,-97.764829,200 W Ben White Blvd Wb,ARCHIVED,2023-11-07 19:15:08
302354,23C48E1AA4867FD335AC3497FA1061DE28CC7819_1699383396,2023-11-07 18:56:36,COLLISION,"(30.114005,-97.719556)",30.114005,-97.719556,10405 FM 1625 RD,ARCHIVED,2023-11-07 19:55:09
302356,5546443CF7936F056C25DF636352D217C030756C_1699627387,2023-11-10 14:43:07,Traffic Hazard,"(30.260425,-97.739272)",30.260425,-97.739272,Red River St / Davis St,ARCHIVED,2023-11-10 16:00:14
302357,F7CB489B88FEBCB7886035D43260E3689936C893_1699722653,2023-11-11 17:10:53,Crash Urgent,"(30.361847,-97.729343)",30.361847,-97.729343,Burnet Rd / Steck Ave,ARCHIVED,2023-11-11 18:15:07
302358,ADB38019446C733C064840E350C72C0A9FA975CB_1699725055,2023-11-11 17:50:55,Traffic Hazard,"(30.309048,-97.709806)",30.309048,-97.709806,E 51st St / Cameron Rd,ARCHIVED,2023-11-11 18:25:07
302359,B0A5BD0C190E9CE1A7B0CF390F1326326830EB7D_1699726589,2023-11-11 18:16:29,COLLISION,"(30.44993,-97.697118)",30.44993,-97.697118,14534-14597 MC NEIL MERRILLTOWN RD,ARCHIVED,2023-11-11 18:25:07
302962,DA5C7DB3D666DDE998D6A0423E2301A63F097887_1699381637,2023-11-07 18:27:17,LOOSE LIVESTOCK,"(30.349086,-97.585879)",30.349086,-97.585879,8923-9419 E PARMER LN,ARCHIVED,2023-11-07 19:25:09
302963,A6571BB4231C92B5AF46954A0950FDEEFF69F384_1699384950,2023-11-07 19:22:30,Traffic Hazard,"(30.338891,-97.699257)",30.338891,-97.699257,800-956 E Anderson Ln Svrd Wb,ARCHIVED,2023-11-07 19:30:11
302964,AB4B14521FFA251F4FFFDA0C8C6CED93433E7268_1699382872,2023-11-07 18:47:52,Crash Service,"(30.202813,-97.806922)",30.202813,-97.806922,Menchaca Rd / W William Cannon Dr,ARCHIVED,2023-11-07 19:55:09
302965,3259CB20A537C3539F365141FA16B8651163F575_1699384647,2023-11-07 19:17:27,COLLISION,"(30.164132,-97.692798)",30.164132,-97.692798,S Us 183 Hwy Nb / Fm 812 Rd,ARCHIVED,2023-11-07 20:00:16
302966,0AEBF3A9339A0D976E082525062CB64CFC9BA651_1699629367,2023-11-10 15:16:07,Stalled Vehicle,"(30.229391,-97.68302)",30.229391,-97.68302,1000-blk Bastrop Hwy Sb,ARCHIVED,2023-11-10 16:15:14
302967,73D5B2C9566019F6A626927C40ABB72943880BE5_1699631943,2023-11-10 15:59:03,LOOSE LIVESTOCK,"(30.550635,-97.943554)",30.550635,-97.943554,22974 NAMELESS RD,ARCHIVED,2023-11-10 16:15:14
302968,8A2A193948DF988A8B881A75CC050C55ABD1A1DE_1699629966,2023-11-10 15:26:06,Traffic Hazard,"(30.393586,-97.681154)",30.393586,-97.681154,12002 N Lamar Blvd,ARCHIVED,2023-11-10 16:25:08
302969,0CF1E822BDEEE81C31642D73DF2A5DB1ABCDB07A_1699633616,2023-11-10 16:26:56,COLLISION,"(30.425309,-97.591698)",30.425309,-97.591698,2400-2618 E PECAN ST,ARCHIVED,2023-11-10 16:35:08
302970,13D1433C84AC448FD47349A00B528DBD91E6F28A_1699631613,2023-11-10 15:53:33,Crash Service,"(30.421568,-97.729725)",30.421568,-97.729725,12201 Dorsett Rd,ARCHIVED,2023-11-10 16:45:10
303184,BDC4507C99776067623F8CAB774CC5C1B9E6FC47_1699384593,2023-11-07 19:16:33,TRFC HAZD/ DEBRIS,"(30.499004,-97.582719)",30.499004,-97.582719,21030-21318 N Sh 130 Svrd Sb,ARCHIVED,2023-11-07 19:45:11
